Media,Links,Links_Text,Icons
Location,#,Patiala,images/icons/location.png
Contact,#,#,images/icons/phone.png
WhatsApp,#,#,images/icons/whatsapp.png
Email,mailto:sswaraj_be18@thapar.edu,Gmail,images/icons/mail.png
GitHub,https://github.com/SoumyaSwaraj,GitHub,images/icons/github.png
YouTube,https://www.youtube.com/,YouTube,images/icons/youtube.png
Medium,#,Medium,images/icons/blog.png
Linkedin,https://www.linkedin.com/in/isoumyaswaraj,Linkedin,images/icons/linked-in.png
Kaggle,#,Kaggle,images/icons/kaggle.png
Instagram,#,Instagram,images/icons/instagram.png
Twitter,#,Twitter,images/icons/twitter.png
